Filial;Data Pedido;Loja Sap;Sigla;Nº documento;Pacote;Onda;SeqLiberacao;Volume;Visitas;Perfil;QtdRuptura;%Ruptura;N° Novo Pacote;Data Liberação;Hora Liberação;Liberado por:;Pendência;Status;Data Finalização;Lead Time;Obs:
1922;08/05/2025;1034;CS;310000176108;33273;1;11;463;256;1,8;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;08/05/2025;1034;CS;310000176134;33273;1;11;15;1;15,0;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176432;33273;1;11;539;101;5,3;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176432;33273;2;11;536;85;6,3;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176670;33575;2;11;163;6;27,2;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176796;33575;2;11;35;2;17,5;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176852;33575;2;11;28;1;28,0;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000176986;33575;2;11;45;2;22,5;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000177003;33575;2;11;121;9;13,4;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1034;CS;310000177006;33575;2;11;216;18;12,0;;;33273;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1019;OA;310000176666;33573;1;34;146;4;36,5;;;33573;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1019;OA;310000176759;33573;1;34;212;11;19,3;;;33573;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1019;OA;310000176764;33573;1;34;146;18;8,1;;;33573;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1019;OA;310000177029;33573;1;34;40;2;20,0;;;33573;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;09/05/2025;1019;OA;310000177039;33573;1;34;25;1;25,0;;;33573;11/05/2025;21:30:00;Cauê;0;100%;13/05/2025;2;
1922;01/05/2025;1003;JN;310000173501;33428;1;7;1;1;1,0;;;33428;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;01/05/2025;1009;RP;310000173702;32326;1;2;489;172;2,8;;;32326;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;01/05/2025;1011;CP;310000173603;33368;1;4;2;2;1,0;;;33368;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;01/05/2025;1013;CJ;310000173502;32339;1;5;388;163;2,4;;;32339;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1003;JN;310000173675;32176;1;7;157;8;19,6;;;32176;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1003;JN;310000173706;32176;1;7;440;139;3,2;;;32176;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1003;JN;310000173706;32547;1;7;89;29;3,1;;;32547;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1007;ID;310000173676;32164;1;3;97;5;19,4;;;32164;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1007;ID;310000173707;32164;1;3;559;186;3,0;;;32164;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1009;RP;310000173580;32166;1;2;37;6;6,2;;;32166;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1009;RP;310000173610;32166;1;2;572;178;3,2;;;32166;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1011;CP;310000173510;32375;1;4;536;176;3,0;;;32375;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1011;CP;310000173582;32375;1;4;130;6;21,7;;;32375;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1011;CP;310000174112;32375;1;4;10;1;10,0;;;32375;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1011;CP;310000173825;32375;1;4;1;1;1,0;;;32375;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1013;CJ;310000173611;32168;1;5;463;165;2,8;;;32168;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1013;CJ;310000173774;32168;1;5;112;7;16,0;;;32168;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1013;CJ;310000173627;32168;1;5;1;1;0,0;;;32168;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1014;BM;310000173511;32376;1;8;415;149;2,8;;;32376;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1014;BM;310000173583;32376;1;8;70;6;11,7;;;32376;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1014;BM;310000174015;32376;1;8;15;1;15,0;;;32376;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1020;CF;310000173513;32380;1;9;580;209;2,8;;;32380;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1020;CF;310000173678;32380;1;9;67;4;16,8;;;32380;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1030;UT;310000173517;32382;1;6;464;132;3,5;;;32382;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1030;UT;310000173884;32382;1;6;59;5;11,8;;;32382;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;02/05/2025;1030;UT;310000174208;32382;1;6;5;1;5,0;;;32382;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1003;JN;310000174242;32548;1;7;299;98;3,1;;;32548;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1003;JN;310000174242;33428;1;7;2;2;1,0;;;33428;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1003;JN;310000174242;32547;1;7;64;21;3,0;;;32547;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1007;ID;310000174133;32525;1;3;438;129;3,4;;;32525;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1007;ID;310000174133;33442;1;3;1;1;1,0;;;33442;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1011;CP;310000174135;32552;1;4;420;135;3,1;;;32552;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1011;CP;310000174135;33368;1;4;1;1;1,0;;;33368;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1013;CJ;310000173966;32449;1;5;124;40;3,1;;;32449;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1014;BM;310000174243;32377;1;8;593;171;3,5;;;32377;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;05/05/2025;1030;UT;310000174059;32555;1;6;388;138;2,8;;;32555;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;07/05/2025;1030;UT;310000175260;32917;1;6;184;56;3,3;;;32917;12/05/2025;16:24:00;Yhago;0;100%;14/05/2025;3;
1922;01/05/2025;1023;AG;310000173801;33459;1;14;1;1;1,0;;;33459;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1002;PN;310000173805;32186;1;12;387;175;2,2;;;32186;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1002;PN;310000173879;32186;1;12;165;8;20,6;;;32186;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1002;PN;310000174205;32186;1;12;5;1;5,0;;;32186;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1023;AG;310000173514;32179;1;14;269;126;2,1;;;32179;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1023;AG;310000173882;32179;1;14;48;5;9,6;;;32179;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1025;VN;310000173679;32189;1;13;66;7;9,4;;;32189;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;02/05/2025;1025;VN;310000173709;32189;1;13;408;147;2,8;;;32189;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;05/05/2025;1002;PN;310000173965;32464;1;12;451;184;2,5;;;32464;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;05/05/2025;1025;VN;310000173969;32469;1;13;370;155;2,4;;;32469;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;05/05/2025;1025;VN;310000173969;33451;1;13;1;1;1,0;;;33451;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;06/05/2025;1023;AG;310000174708;32998;1;14;2;1;2,0;;;32998;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;07/05/2025;1002;PN;310000175439;33435;1;12;5;2;2,5;;;33435;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;07/05/2025;1025;VN;310000175259;32872;1;13;253;113;2,2;;;32872;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;08/05/2025;1002;PN;310000176047;32464;1;12;12;2;6,0;;;32464;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;08/05/2025;1002;PN;310000175697;32464;1;12;1;1;1,0;;;32464;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;08/05/2025;1023;AG;310000176005;33264;1;14;655;262;2,5;;;33264;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;08/05/2025;1023;AG;310000176005;33459;1;14;30;10;3,0;;;33459;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;08/05/2025;1023;AG;310000176210;32998;1;14;5;1;5,0;;;32998;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;09/05/2025;1002;PN;310000176194;33373;1;12;70;19;3,7;;;33373;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;09/05/2025;1002;PN;310000176194;33435;1;12;3;1;3,0;;;33435;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;09/05/2025;1023;AG;310000176324;32998;1;14;89;41;2,2;;;32998;13/05/2025;05:30:00;Yhago;0;100%;15/05/2025;3;
1922;12/05/2025;1019;OA;310000177426;33847;1;26;50;1;50,0;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1019;OA;310000177608;33860;1;26;2;1;2,0;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1019;OA;310000177654;33860;1;26;71;8;8,9;;;33847;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1019;OA;310000177687;33860;1;26;24;1;24,0;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1019;OA;310000177978;33860;1;26;792;262;3,0;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1019;OA;310000178662;33917;1;26;13;2;6,5;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1019;OA;310000178808;33917;1;26;72;4;18,0;;;33847;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;14/05/2025;1019;OA;310000179114;33917;1;26;39;4;9,8;;;33847;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;14/05/2025;1019;OA;310000179191;34250;1;26;23;4;5,8;;;31/ago;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1034;CS;310000177182;33857;1;30;149;1;149,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1034;CS;310000177456;33873;1;30;5;1;5,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1034;CS;310000177487;33873;1;30;59;17;3,5;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1034;CS;310000177786;33873;1;30;54;4;13,5;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1034;CS;310000178043;33873;1;30;20;1;20,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1034;CS;310000177983;33873;1;30;389;213;1,8;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1034;CS;310000178737;34091;1;30;65;4;16,3;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1034;CS;310000178828;34091;1;30;10;1;10,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;13/05/2025;1034;CS;310000178907;34091;1;30;100;1;100,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;14/05/2025;1034;CS;310000178896;34091;1;30;57;6;9,5;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;14/05/2025;1034;CS;310000179193;34269;1;30;32;4;8,0;;;33857;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1007;ID;310000176207;33179;1;2;19;2;9,5;;;33179;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1007;ID;310000176195;33468;1;2;605;174;3,5;;;33468;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1007;ID;310000176790;33468;1;2;4;1;4,0;;;33468;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1007;ID;310000176831;33468;1;2;54;3;18,0;;;33468;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1007;ID;310000176865;33468;1;2;167;10;16,7;;;33468;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1007;ID;310000176978;33468;1;2;35;2;17,5;;;33468;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1007;ID;310000177296;33639;1;2;24;5;4,8;;;33639;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;12/05/2025;1007;ID;310000177355;33639;1;2;185;65;2,8;;;33639;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1009;RP;310000176130;33189;1;4;19;2;9,5;;;33189;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1009;RP;310000176105;33189;1;4;1;1;1,0;;;33189;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1013;CJ;310000176131;33261;1;3;18;2;9,0;;;33261;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1013;CJ;310000176027;33261;1;3;1;1;1,0;;;33261;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176261;33426;1;4;12;5;2,4;;;33426;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176261;33413;1;4;807;233;3,5;;;33413;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176866;33413;1;4;143;8;17,9;;;33413;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176889;33413;1;4;28;2;14,0;;;33413;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176911;33426;1;4;80;4;20,0;;;33426;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1009;RP;310000176911;33413;1;4;5;1;5,0;;;33413;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176322;33438;1;3;5;4;1,3;;;33438;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176322;33288;1;3;701;199;3,5;;;33288;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176664;33438;1;3;60;4;15,0;;;33438;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176664;33288;1;3;37;2;18,5;;;33288;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176697;33288;1;3;188;13;14,5;;;33288;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176897;33438;1;3;50;1;50,0;;;33438;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176897;33288;1;3;5;1;5,0;;;33288;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;09/05/2025;1013;CJ;310000176980;33288;1;3;35;2;17,5;;;33288;14/05/2025;16:30:00;Yhago;0;100%;16/05/2025;3;
1922;08/05/2025;1003;JN;310000176048;33159;1;2;19;2;9,5;;;33159;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;08/05/2025;1011;CP;310000176051;33180;1;3;19;2;9,5;;;33180;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1003;JN;310000176318;33374;1;2;835;222;3,8;;;33374;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1003;JN;310000176977;33159;1;2;50;3;16,7;;;33159;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1003;JN;310000177036;33159;1;2;10;1;10,0;;;33159;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1011;CP;310000176426;33286;1;3;475;209;2,3;;;33286;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1011;CP;310000177025;33286;1;3;50;3;16,7;;;33286;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;12/05/2025;1003;JN;310000177353;33839;1;2;182;63;2,9;;;33839;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;12/05/2025;1011;CP;310000177356;33851;1;3;553;187;3,0;;;33851;15/05/2025;05:30:00;Yhago;0;100%;17/05/2025;3;
1922;12/05/2025;1009;RP;310000177166;33807;1;6;392;143;2,7;;;33807;15/05/2025;16:02:00;Yhago;0;100%;17/05/2025;3;
1922;12/05/2025;1009;RP;310000177651;33807;1;6;43;11;3,9;;;33807;15/05/2025;16:02:00;Yhago;0;100%;17/05/2025;3;
1922;13/05/2025;1009;RP;310000177981;33887;1;6;1;1;0,0;;;33887;15/05/2025;16:02:00;Yhago;0;100%;17/05/2025;3;
1922;13/05/2025;1009;RP;310000178162;33887;1;6;551;224;2,5;;;33887;15/05/2025;16:02:00;Yhago;0;100%;17/05/2025;3;
1922;14/05/2025;1009;RP;310000178783;34108;1;6;114;57;2,0;;;34108;15/05/2025;16:02:00;Yhago;0;100%;17/05/2025;3;
1922;13/05/2025;1007;ID;310000178200;33895;1;3;627;213;2,9;;;33895;15/05/2025;19:00:00;Yhago;0;100%;17/05/2025;3;
1922;14/05/2025;1007;ID;310000178929;34106;1;3;473;143;3,3;;;34106;15/05/2025;19:00:00;Yhago;0;100%;17/05/2025;3;
1922;09/05/2025;1020;CF;310000176263;32889;1;2;690;206;3,3;;;32889;16/05/2025;05:30:00;Yhago;0;100%;18/05/2025;2;
1922;09/05/2025;1020;CF;310000176263;33441;1;2;7;6;1,2;;;33441;16/05/2025;05:30:00;Yhago;0;100%;18/05/2025;2;
1922;09/05/2025;1020;CF;310000176760;32916;1;2;108;10;10,8;;;32916;16/05/2025;05:30:00;Yhago;0;100%;18/05/2025;2;
